codigo,from,to,version,fecha,tipo_relacion,descripcion_relacion,fuente,formato-fuente,link
R1,215,1,Año 1 N° 1,8/02/1876,Directora,,El Recreo (1890),APA,
R2,215,2,Año 1 N° 1,8/02/1876,Director,,,,
R3,215,3,Año 1 N° 1,8/02/1876,Secretario,,,,
R4,215,4,Año 1 N° 1,8/02/1876,Colaborador,,,,
R5,215,5,Año 1 N° 1,8/02/1876,Colaborador,,,,
R6,215,6,Año 1 N° 1,8/02/1876,Colaborador,,,,
R7,215,7,Año 1 N° 1,8/02/1876,Colaborador,,,,
R8,215,8,Año 1 N° 1,8/02/1876,Colaborador,,,,
R9,215,9,Año 1 N° 1,8/02/1876,Colaborador,,,,
R10,215,10,Año 1 N° 1,8/02/1876,Colaborador,,,,
R11,215,11,Año 1 N° 1,8/02/1876,Colaborador,,,,
R12,215,12,Año 1 N° 1,8/02/1876,Colaborador,,,,
R13,215,13,Año 1 N° 1,8/02/1876,Colaborador,,,,
R14,215,14,Año 1 N° 1,8/02/1876,Colaborador,,,,
R15,215,15,Año 1 N° 1,8/02/1876,Colaborador,,,,
R16,215,16,Año 1 N° 1,8/02/1876,Colaborador,,,,
R17,215,17,Año 1 N° 1,8/02/1876,Colaborador,,,,
R18,215,18,Año 1 N° 1,8/02/1876,Colaborador,,,,
R19,215,19,Año 1 N° 1,8/02/1876,Colaborador,,,,
R20,215,20,Año 1 N° 1,8/02/1876,Colaborador,,,,
R21,215,21,Año 1 N° 1,8/02/1876,Colaborador,,,,
R22,215,22,Año 1 N° 1,8/02/1876,Colaborador,,,,
R23,215,23,Año 1 N° 1,8/02/1876,Colaborador,,,,
R24,215,24,Año 1 N° 1,8/02/1876,Colaborador,,,,
R25,215,25,Año 1 N° 1,8/02/1876,Colaborador,,,,
R26,215,26,Año 1 N° 1,8/02/1876,Colaborador,,,,
R27,215,27,Año 1 N° 1,8/02/1876,Colaborador,,,,
R28,215,28,Año 1 N° 1,8/02/1876,Colaborador,,,,
R29,215,29,Año 1 N° 1,8/02/1876,Colaborador,,,,
R30,215,30,Año 1 N° 1,8/02/1876,Colaborador,,,,
R31,215,31,Año 1 N° 1,8/02/1876,Colaborador,,,,
R32,215,32,Año 1 N° 1,8/02/1876,Colaborador,,,,
R33,215,33,Año 1 N° 1,8/02/1876,Colaborador,,,,
R34,215,34,Año 1 N° 1,8/02/1876,Colaborador,,,,
R35,215,35,Año 1 N° 1,8/02/1876,Colaborador,,,,
R36,215,36,Año 1 N° 1,8/02/1876,Colaborador,,,,
R37,215,37,Año 1 N° 1,8/02/1876,Colaborador,,,,
R38,215,38,Año 1 N° 1,8/02/1876,Colaborador,,,,
R39,215,39,Año 1 N° 1,8/02/1876,Colaborador,,,,
R40,215,40,Año 1 N° 1,8/02/1876,Colaborador,,,,
R41,215,41,Año 1 N° 1,8/02/1876,Colaborador,,,,
R42,215,42,Año 1 N° 1,8/02/1876,Colaborador,,,,
R43,215,43,Año 1 N° 1,8/02/1876,Colaborador,,,,
R44,215,44,Año 1 N° 1,8/02/1876,Colaborador,,,,
R45,215,45,Año 1 N° 1,8/02/1876,Colaborador,,,,
R46,215,46,Año 1 N° 1,8/02/1876,Colaborador,,,,
R47,215,47,Año 1 N° 1,8/02/1876,Colaborador,,,,
R48,215,48,Año 1 N° 1,8/02/1876,Colaborador,,,,
R49,215,49,Año 1 N° 1,8/02/1876,Colaborador,,,,
R50,215,50,Año 1 N° 1,8/02/1876,Colaborador,,,,
R51,215,51,Año 1 N° 1,8/02/1876,Colaborador,,,,
R52,215,52,Año 1 N° 1,8/02/1876,Colaborador,,,,
R53,215,216,Año 1 N° 1,8/02/1876,Imprenta,,,,
R54,216,53,Año 1 N° 1,,Dueño,,,,
R55,218,1,Año 1 N° 1,,Colaborador,,,,
R56,215,54,Año 1 N° 2,18/02/1876,Republicado,Republicación post morten,,,
R57,215,55,Año 1 N° 2,18/02/1876,Colaborador,,,,
R58,215,56,Año 1 N° 2,18/02/1876,Colaborador,,,,
R59,215,57,Año 1 N° 3,28/02/1876,Colaborador,,,,
R60,215,58,Año 1 N° 3,28/02/1876,Colaborador,,,,
R61,215,59,Año 1 N° 3,28/02/1876,Republicado,Republicado por discurso,,,
R62,215,60,Año 1 N° 4,15/03/1876,Colaborador,,,,
R63,215,61,Año 1 N° 5,27/03/1876,Colaborador,,,,
R64,215,62,Año 1 N° 6,06/04/1876,Republicado,Republicado de libro,Pagina 43,,
R65,230,153,,,Asistente,"América y sus mujeres, p. 146",,,
R66,230,21,,,Anfitriona,América y sus mujeres,,,
R67,153,22,,,Amistad,"América y sus mujeres, p. 153",,,
R68,153,21,,,Amistad,"América y sus mujeres, p.146",,,
R69,220,153,,,Colaborador extraordinario,"América y sus mujeres, p.153",,,
R70,220,154,,,Colaborador,"América y sus mujeres, p. 154",,,
R71,230,156,,,Colaborador,"América y sus mujeres, p. 156",,,
R72,230,155,,,Colaborador,"América y sus mujeres, p. 156",,,
R73,155,156,,,Familia,Hermanos,,,
R74,235,156,,,Colaboradora,"América y sus mujeres, p. 156",,,
R75,153,72,,,Mención,"América y sus mujeres, p. 157",,,
R76,153,157,,,Mención,"América y sus mujeres, p. 157",,,
R77,153,61,,,Mención,"América y sus mujeres, p. 158",,,
R78,153,158,,,Trato,"América y  sus mujeres, p. 160",,,
R79,153,1,,,Mención,"América y sus mujeres, p. 162",,,
R80,153,159,,,Mención,"América y sus mujeres, p. 162",,,
R81,153,154,,,Mención,"América y sus mujeres, p. 163",,,
R82,153,160,,,Mención,"América y sus mujeres, p. 163",,,
R83,160,170,,,Familia,Hermanos,,,
R84,153,161,,,Mención,"América y sus mujeres, p.164",,,
R85,153,162,,,Mención,"América y sus mujeres, p.164",,,
R86,153,163,,,Mención,"América y sus mujeres, p.164",,,
R87,153,164,,,Mención,"América y sus mujeres, p.164",,,
R88,153,165,,,Mención,"América y sus mujeres, p.164",,,
R89,153,166,,,Mención,"América y sus mujeres, p.164",,,
R90,153,167,,,Mención,"América y sus mujeres, p.164",,,
R91,153,168,,,Trato,"América y sus mujeres, p.166",,,
R92,153,169,,,Mención,"América y sus mujeres, p.167",,,
R93,153,170,,,Mención,"América y sus mujeres, p.167",,,
R94,153,171,,,Mención,"América y sus mujeres, p.167",,,
R95,153,172,,,Mención,"América y sus mujeres, p.168",,,
R96,229,173,,12/11/1887,Asistente,,Las veladas literarias de Clorinda Matto en la Lima de la posguerra (1887-1891) de Evelyn Sotomayor (2017),,
R97,229,174,,02/03/1888,Asistente,,Las veladas literarias de Clorinda Matto en la Lima de la posguerra (1887-1891) de Evelyn Sotomayor (2017),,
R98,229,175,,02/06/1888,Asistente,,Las veladas literarias de Clorinda Matto en la Lima de la posguerra (1887-1891) de Evelyn Sotomayor (2017),,
R99,229,176,,,Asistente,,Las veladas literarias de Clorinda Matto en la Lima de la posguerra (1887-1891) de Evelyn Sotomayor (2017),,
R100,229,177,,,Asistente,,Las veladas literarias de Clorinda Matto en la Lima de la posguerra (1887-1891) de Evelyn Sotomayor (2017),,
